[2017/03/08 00:51:17] §f[§aD§f] §ffybit11§r executed /warp b at Location{world=CraftWorld{name=world},x=-323.4910748765978,y=25.674163675995747,z=131.61548916709881,pitch=28.199993,yaw=319.9499}
[2017/03/08 00:52:24] §f[§aD§f] §ffybit11§r executed /mrl create b1 at Location{world=CraftWorld{name=world},x=-217.20434332863883,y=26.445871109501233,z=-166.53722203265403,pitch=13.349931,yaw=351.90137}
[2017/03/08 00:52:35] §f[§aD§f] §ffybit11§r executed /mrl info b1 at Location{world=CraftWorld{name=world},x=-234.13524518590603,y=28.315288504949233,z=-151.02889559095374,pitch=13.349931,yaw=351.90137}
[2017/03/08 00:52:42] §f[§aD§f] §ffybit11§r executed /mrl tp b1 at Location{world=CraftWorld{name=world},x=-246.65730985354168,y=28.315288504949233,z=-148.94054607463644,pitch=13.349931,yaw=351.90137}
[2017/03/08 00:53:09] §f[§aD§f] §ffybit11§r executed /mrl set b1 17 40% at Location{world=CraftWorld{name=world},x=-244.86510402323975,y=28.377738420613966,z=-144.88416035331736,pitch=22.04999,yaw=277.64984}
[2017/03/08 00:53:14] §f[§aD§f] §ffybit11§r executed /mrl set b1 18 60% at Location{world=CraftWorld{name=world},x=-244.86510402323975,y=28.377738420613966,z=-144.88416035331736,pitch=22.04999,yaw=277.64984}
[2017/03/08 00:53:25] §f[§aD§f] §ffybit11§r executed /mrl reset b1 at Location{world=CraftWorld{name=world},x=-248.7539943562847,y=28.377738420613966,z=-145.6218649288233,pitch=22.04999,yaw=277.64984}
[2017/03/08 00:53:44] §f[§aD§f] §ffybit11§r executed /mrl flag b1 resetDelay 10 at Location{world=CraftWorld{name=world},x=-239.12245731052403,y=26.144426022620117,z=-137.32124468302536,pitch=24.899988,yaw=157.34981}
[2017/03/08 00:54:15] §f[§aD§f] §ffybit11§r executed /mrl create b2 at Location{world=CraftWorld{name=world},x=-282.5629154158154,y=28.11401016449198,z=-158.45633328164192,pitch=18.299988,yaw=116.84988}
[2017/03/08 00:54:22] §f[§aD§f] §ffybit11§r executed /mrl create b2 at Location{world=CraftWorld{name=world},x=-264.73294036490165,y=30.363207011992802,z=-147.75823446729396,pitch=35.69998,yaw=-1.21754405E-4}
[2017/03/08 00:54:29] §f[§aD§f] §ffybit11§r executed /mrl flag b2 resetDelay 10 at Location{world=CraftWorld{name=world},x=-264.66662299772105,y=30.363207011992802,z=-147.75823446729396,pitch=35.69998,yaw=-1.21754405E-4}
[2017/03/08 00:54:54] §f[§aD§f] §ffybit11§r executed /mrl set b2 1 80% at Location{world=CraftWorld{name=world},x=-264.66662299772105,y=30.363207011992802,z=-147.75823446729396,pitch=35.69998,yaw=-1.21754405E-4}
[2017/03/08 00:55:21] §f[§aD§f] §ffybit11§r executed /mrl set b2 16 20% at Location{world=CraftWorld{name=world},x=-266.8110513469561,y=30.363207011992802,z=-147.75823446729396,pitch=35.69998,yaw=0.59987825}
[2017/03/08 00:55:30] §f[§aD§f] §ffybit11§r executed /mrl reset b2 at Location{world=CraftWorld{name=world},x=-270.18579739297826,y=30.363207011992802,z=-151.35689599348655,pitch=35.69998,yaw=0.59987825}
[2017/03/08 00:56:06] §f[§aD§f] §ffybit11§r executed /c at Location{world=CraftWorld{name=world},x=-252.22718822876647,y=27.385705480541606,z=-140.10150506077812,pitch=22.199976,yaw=-158.09996}
[2017/03/08 00:56:06] §f[§aD§f] §ffybit11§r executed /warp c at Location{world=CraftWorld{name=world},x=-252.22718822876647,y=27.385705480541606,z=-140.10150506077812,pitch=22.199976,yaw=-158.09996}
[2017/03/08 00:56:28] §f[§aD§f] §ffybit11§r executed /mrl create c1 at Location{world=CraftWorld{name=world},x=1109.319748270963,y=27.778546680858433,z=962.3586596636032,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:56:46] §f[§aD§f] §ffybit11§r executed /mrl set c1 16 20% at Location{world=CraftWorld{name=world},x=1101.9763521469279,y=27.778546680858433,z=963.5856108388786,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:57:02] §f[§aD§f] §ffybit11§r executed /mrl set c1 15 20% at Location{world=CraftWorld{name=world},x=1101.9763521469279,y=27.778546680858433,z=963.5856108388786,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:57:08] §f[§aD§f] §ffybit11§r executed /mrl set c1 1 60% at Location{world=CraftWorld{name=world},x=1101.9763521469279,y=27.778546680858433,z=963.5856108388786,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:57:26] §f[§aD§f] §ffybit11§r executed /mrl flag c1 resetDelay 10 at Location{world=CraftWorld{name=world},x=1098.6534185659514,y=27.778546680858433,z=963.6156178835685,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:57:37] §f[§aD§f] §ffybit11§r executed /mrl reset c1 at Location{world=CraftWorld{name=world},x=1098.6534185659514,y=27.778546680858433,z=963.6156178835685,pitch=23.849968,yaw=-87.152374}
[2017/03/08 00:58:16] §f[§aD§f] §ffybit11§r executed /mrl create c2 at Location{world=CraftWorld{name=world},x=1054.7071230483236,y=25.86443699335322,z=964.3339644405146,pitch=28.349957,yaw=43.348083}
[2017/03/08 00:58:35] §f[§aD§f] §ffybit11§r executed /mrl flag c2 resetDelay 10 at Location{world=CraftWorld{name=world},x=1054.7071230483236,y=25.86443699335322,z=964.3339644405146,pitch=28.349957,yaw=43.348083}
[2017/03/08 00:59:05] §f[§aD§f] §ffybit11§r executed /mrl set 17 60% at Location{world=CraftWorld{name=world},x=1054.7071230483236,y=25.86443699335322,z=964.3339644405146,pitch=28.349957,yaw=43.348083}
[2017/03/08 00:59:18] §f[§aD§f] §ffybit11§r executed /mrl set c2 17 60% at Location{world=CraftWorld{name=world},x=1054.7071230483236,y=25.86443699335322,z=964.3339644405146,pitch=28.349957,yaw=43.348083}
[2017/03/08 00:59:33] §f[§aD§f] §ffybit11§r executed /mrl set c2 18 40% at Location{world=CraftWorld{name=world},x=1065.7811259325372,y=25.86443699335322,z=978.7450523166497,pitch=13.799954,yaw=138.74838}
[2017/03/08 00:59:44] §f[§aD§f] §ffybit11§r executed /mrl reset c2 at Location{world=CraftWorld{name=world},x=1065.7811259325372,y=25.86443699335322,z=978.7450523166497,pitch=13.799954,yaw=138.74838}
[2017/03/08 01:00:14] §f[§aD§f] §ffybit11§r executed /d at Location{world=CraftWorld{name=world},x=1055.9115047222515,y=25.86443699335322,z=968.7751730774853,pitch=7.4999523,yaw=243.44872}
[2017/03/08 01:00:15] §f[§aD§f] §ffybit11§r executed /warp d at Location{world=CraftWorld{name=world},x=1055.9115047222515,y=25.86443699335322,z=968.7751730774853,pitch=7.4999523,yaw=243.44872}
[2017/03/08 01:00:38] §f[§aD§f] §ffybit11§r executed /mrl creat d1 at Location{world=CraftWorld{name=world},x=200.73725657583873,y=25.903902371576134,z=-47.17062840084431,pitch=10.499999,yaw=266.39578}
[2017/03/08 01:00:44] §f[§aD§f] §ffybit11§r executed /mrl create d1 at Location{world=CraftWorld{name=world},x=197.8162060252831,y=25.903902371576134,z=-44.62320446651316,pitch=19.649996,yaw=160.04575}
