[2016/09/19 01:34:41] §6[§a§lMember§6]-§fDoThe§r executed /spawntp at Location{world=CraftWorld{name=world},x=701.560812347192,y=7.0,z=-19.751694899618037,pitch=-0.75001,yaw=179.84995}
[2016/09/19 01:34:48] §6[§a§lMember§6]-§fDoThe§r executed /spawntp setspawn at Location{world=CraftWorld{name=world},x=701.560812347192,y=7.0,z=-19.751694899618037,pitch=-0.75001,yaw=179.84995}
[2016/09/19 01:47:16] DoThe executed /kill dothe at Location{world=CraftWorld{name=world},x=701.8354949809809,y=7.0,z=-19.099243658444713,pitch=17.849985,yaw=180.60013}
[2016/09/19 01:47:53] DoThe executed /logins at Location{world=CraftWorld{name=world},x=711.99945154944,y=4.0,z=-1.9998049000460014,pitch=34.800007,yaw=70.50004}
[2016/09/19 02:13:19] DoThe executed /spawn at Location{world=CraftWorld{name=world},x=714.3026284063626,y=4.0,z=-3.009790449117845,pitch=13.200006,yaw=-63.599995}
[2016/09/19 02:13:28] DoThe executed /spawn at Location{world=CraftWorld{name=world},x=701.1041492617167,y=7.0,z=-18.81249274757446,pitch=30.8,yaw=-177.00003}
[2016/09/19 02:13:41] DoThe executed /tp 701 7 -20 at Location{world=CraftWorld{name=world},x=705.3000000119209,y=4.0,z=-5.160820664521376,pitch=9.049998,yaw=-232.65002}
[2016/09/19 02:14:14] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.199998,yaw=-179.99997}
[2016/09/19 02:15:48] DoThe executed /tp 701 7 -20 at Location{world=CraftWorld{name=world},x=700.0,y=6.0,z=-14.0,pitch=48.749985,yaw=129.90001}
[2016/09/19 02:15:57] DoThe executed /tp 701 7 -20 at Location{world=CraftWorld{name=world},x=700.0,y=6.0,z=-14.0,pitch=47.099983,yaw=128.40004}
[2016/09/19 02:16:13] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:16:21] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:16:25] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:17:50] DoThe executed /plugins at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:18:26] DoThe executed /setspwan at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:18:30] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:19:24] DoThe executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 02:21:43] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.4323140662204,y=6.5,z=-17.360488361253243,pitch=11.849971,yaw=123.15016}
[2016/09/19 02:21:55] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.15018}
[2016/09/19 16:46:42] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.0,y=7.0,z=-20.0,pitch=-9.299999,yaw=-179.69994}
[2016/09/19 16:46:58] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.0,y=7.0,z=-20.0,pitch=-9.299999,yaw=-179.69994}
[2016/09/19 16:47:13] §6[§a§lMember§6]-§fDoThe§r executed /kill dothe at Location{world=CraftWorld{name=world},x=701.0,y=7.0,z=-20.0,pitch=-9.449997,yaw=-167.39993}
[2016/09/19 16:47:24] §6[§a§lMember§6]-§f§4DoThe§r executed /setspawn at Location{world=CraftWorld{name=world},x=701.5,y=7.0,z=-19.5,pitch=-10.200028,yaw=180.00018}
[2016/09/19 16:57:46] §6[§a§lMember§6]-§fDoThe§r executed /gamemode 1 at Location{world=CraftWorld{name=world},x=687.014096483096,y=4.0,z=-21.400608024877386,pitch=31.999895,yaw=272.24982}
[2016/09/19 17:00:49] §6[§a§lMember§6]-§fDoThe§r executed /gamemode 1 at Location{world=CraftWorld{name=world},x=695.7626496904224,y=3.0,z=-3.228380375578938,pitch=33.8,yaw=193.2002}
[2016/09/19 17:03:08] §6[§a§lMember§6]-§fDoThe§r executed /gamemode 0 at Location{world=CraftWorld{name=world},x=655.6237868500393,y=58.0,z=52.73051450745209,pitch=50.100002,yaw=104.40039}
[2016/09/19 17:03:28] §6[§a§lMember§6]-§f§4DoThe§r executed /spawn at Location{world=CraftWorld{name=world},x=700.5826585591547,y=4.5,z=-8.153471405547041,pitch=29.399944,yaw=150.45016}
